brand,category_code,event_type
avermedia,electronics.audio.microphone,cart
avermedia,electronics.audio.microphone,purchase
avermedia,electronics.audio.microphone,view
avis,auto.accessories.videoregister,cart
avis,auto.accessories.videoregister,purchase
avis,auto.accessories.videoregister,view
avis,electronics.audio.subwoofer,cart
avis,electronics.audio.subwoofer,view
avrora,furniture.kitchen.chair,cart
avrora,furniture.kitchen.chair,view
avrorateksdizajn,furniture.bedroom.pillow,view
avs,auto.accessories.compressor,cart
avs,auto.accessories.compressor,purchase
avs,auto.accessories.compressor,view
awei,electronics.audio.headphone,cart
awei,electronics.audio.headphone,purchase
awei,electronics.audio.headphone,view
axis,sport.bicycle,cart
axis,sport.bicycle,purchase
axis,sport.bicycle,view
axper,auto.accessories.videoregister,cart
axper,auto.accessories.videoregister,purchase
axper,auto.accessories.videoregister,view
azbukvarik,kids.toys,cart
azbukvarik,kids.toys,purchase
azbukvarik,kids.toys,view
b-kids,kids.toys,view
babolat,sport.tennis,cart
babolat,sport.tennis,purchase
babolat,sport.tennis,view
baboo,kids.toys,cart
baboo,kids.toys,view
baby,furniture.kitchen.chair,view
babybotte,apparel.shoes,cart
babybotte,apparel.shoes,purchase
babybotte,apparel.shoes,view
babygo,furniture.kitchen.chair,view
babygo,furniture.living_room.chair,cart
babygo,furniture.living_room.chair,purchase
babygo,furniture.living_room.chair,view
babygo,kids.carriage,view
babyhit,furniture.living_room.chair,view
babyhit,kids.carriage,cart
babyhit,kids.carriage,purchase
babyhit,kids.carriage,view
babyhit,kids.skates,view
babyhit,sport.bicycle,view
babykiss,kids.carriage,cart
babykiss,kids.carriage,purchase
babykiss,kids.carriage,view
babyliss,appliances.personal.hair_cutter,cart
babyliss,appliances.personal.hair_cutter,purchase
babyliss,appliances.personal.hair_cutter,view
babylisspro,appliances.personal.hair_cutter,view
babylock,appliances.sewing_machine,cart
babylock,appliances.sewing_machine,purchase
babylock,appliances.sewing_machine,view
babymoov,kids.swing,cart
babymoov,kids.swing,purchase
babymoov,kids.swing,view
babys,furniture.kitchen.chair,cart
babys,furniture.kitchen.chair,purchase
babys,furniture.kitchen.chair,view
babysinq,kids.carriage,view
babyswing,kids.swing,cart
babyswing,kids.swing,purchase
babyswing,kids.swing,view
babytime,kids.carriage,cart
babytime,kids.carriage,purchase
babytime,kids.carriage,view
babyzen,kids.carriage,cart
babyzen,kids.carriage,purchase
babyzen,kids.carriage,view
babyzz,kids.carriage,cart
babyzz,kids.carriage,purchase
babyzz,kids.carriage,view
baden,accessories.bag,cart
baden,accessories.bag,purchase
baden,accessories.bag,view
baden,apparel.shoes,cart
baden,apparel.shoes,purchase
baden,apparel.shoes,view
baden,apparel.shoes.ballet_shoes,view
baden,apparel.shoes.keds,cart
baden,apparel.shoes.keds,purchase
baden,apparel.shoes.keds,view
bafang,sport.bicycle,purchase
bafang,sport.bicycle,view
bair,kids.carriage,cart
bair,kids.carriage,purchase
bair,kids.carriage,view
ballistix,computers.components.memory,cart
ballistix,computers.components.memory,purchase
ballistix,computers.components.memory,view
ballu,appliances.environment.air_heater,cart
ballu,appliances.environment.air_heater,purchase
ballu,appliances.environment.air_heater,view
balmain,electronics.clocks,cart
balmain,electronics.clocks,view
bambini,furniture.bedroom.bed,cart
bambini,furniture.bedroom.bed,purchase
bambini,furniture.bedroom.bed,view
